default_entry_prefix,item_separator,entry_prefix,entry_node_type,item_label,item_node_type,item_link_type,list_delimiter,item_prefix_separator,item_prefixes
wrk,__,wrk,work,0,actor,author,_,,
wrk,__,wrk,work,1,date,published,,,
wrk,__,wrk,work,2,,,,_,s t
wrk,__,wrk,work,3,work,volume,,,
wrk,__,wrk,work,4,work,page,,,
wrk,__,wrk,work,5,identifier,doi,,,
wrk,__,wrk,work,s,work,supertitle,,,
wrk,__,wrk,work,t,work,title,,,
wrk,__,fun,agreement,0,actor,funded,_,,
wrk,__,fun,agreement,1,agreement,title,_,,
wrk,__,ack,acknowledgement,0,actor,contains,_,,
wrk,__,aff,affiliation,0,actor,contains,_,,
wrk,__,qte,quote,0,quote,text,,,
wrk,__,not,note,0,note,text,,,
