input_label,node_type,link_type,context,note
author,actors,author,bibtex,
editor,actors,superauthor,bibtex,
collaborator,actors,collaborator,bibtex,
title,works,title,bibtex,
journal,works,supertitle,bibtex,
booktitle,works,supertitle,bibtex,
school,actors,affiliation,bibtex,
year,dates,published,bibtex,
volume,works,volume,bibtex,
number,works,number,bibtex,
pages,works,page,bibtex,
doi,identifiers,doi,bibtex,
0,actors,author,manual transcript,
1,dates,published,manual transcript,
3,works,volume,manual transcript,
4,works,page,manual transcript,
5,identifiers,doi,manual transcript,
s,works,supertitle,manual transcript,
t,works,title,manual transcript,
